Date,MSDUUS Index,MSDUUK Index,MSDUIT Index,MSDUJN Index,MSEUSRUS Index,MSEUSAG Index,MSEUSBR Index,MSEUTMXF Index,JPMTUS Index,JHDCUK Index,JHDCIT Index,JHDCJP Index,JPEMRUS Index,JPEMAR Index,JPEMBZ Index,JPEMMX Index
01/01/1999,1196.343,1208.247,466.527,2224.191,64.408,1282.316,550.538,1045.593,0,174.18,197.56,0,0,0,0,0
04/01/1999,1194.965,1204.076,498.481,2179.228,64.772,1304.672,546,1025.649,254.446,174.7,198.7,0,30.951,153.843,141.582,142.058
05/01/1999,1210.6,1219.416,502.569,2164.822,66.498,1319.121,549.244,1008.568,253.767,174.4,198.81,0,32.682,155.099,144.129,143.203
06/01/1999,1237.352,1257.421,499.861,2166.169,69.672,1358.822,562.391,992.639,254.426,174.31,198.82,0,33.529,155.631,144.824,143.906
07/01/1999,1236.764,1241.34,497.628,2217.057,69.478,1344.755,541.313,978.859,253.69,174.75,198.92,0,32.248,153.724,138.607,142.171
08/01/1999,1241.543,1241.485,491.184,2187.988,69.818,1313.695,531.094,968.065,252.557,175,198.95,0,31.463,152.55,134.831,140.837
11/01/1999,1230.012,1229.234,477.037,2225.464,69.433,1275.281,500.199,946.824,252.109,174.54,198.42,0,31.187,150.991,131.273,139.343
12/01/1999,1206.309,1212.344,466.659,2177.285,67.227,1229.252,475.379,897.923,252.983,173.74,198.58,0,30.677,149.01,126.778,137.311
13/01/1999,1202.247,1192.758,448.589,2143.637,59.626,1111.03,417.433,827.13,253.955,174.65,198.92,0,28.378,137.007,118.302,130.364
14/01/1999,1181.399,1188.69,449.352,2179.48,62.122,1084.014,387.303,835.234,255.485,174.9,198.92,0,28.884,132.16,115.837,128.876
15/01/1999,1210.114,1207.492,456.559,2169.62,60.957,1206.539,460.612,937.748,254.756,174.78,199,0,30.185,141.812,130.022,134.145
18/01/1999,1210.114,1240.646,467.963,2171.972,62.035,1190.262,431.465,946.999,254.756,174.84,199.38,0,0,0,0,0
19/01/1999,1218.677,1226.395,460.31,2175.882,62.701,1222.492,451.006,934.703,254.528,174.84,199.61,184.08,30.247,145.14,136.135,138.095
20/01/1999,1223.172,1232.579,460.234,2213.817,63.538,1227.851,471.002,986.806,254.09,175.15,199.54,178.17,31.485,146.074,136.095,139.346
21/01/1999,1200.55,1220.265,450.401,2250.6,64.639,1161.772,423.881,968.079,254.847,175.87,199.81,178.03,30.368,139.986,126.619,136.839
22/01/1999,1191.35,1190.756,439.04,2215.885,61.52,1161.195,414.461,961.451,255.825,176.39,200.09,178.35,30.905,140.699,121.731,136.118
25/01/1999,1200.901,1198.557,439.098,2222.856,57.344,1173.601,395.938,963.425,255.557,175.88,200.08,178,30.667,138.615,118.384,134.129
26/01/1999,1220.806,1200.961,441.671,2246.228,61.442,1161.969,408.899,980.13,255.448,176.11,200.16,178.54,32.444,141.197,123.76,134.643
27/01/1999,1212.138,1195.174,440.057,2234.49,61.571,1195.566,398.211,990.196,255.548,176.06,200.29,177.83,37.329,142.086,121.742,134.969
28/01/1999,1233.524,1193.748,442.699,2206.097,60.921,1196.448,404.269,1031.495,255.884,175.98,200.29,177.51,36.985,144.421,126.029,137.309
29/01/1999,1246.747,1193.304,441.743,2238.893,57.137,1219.715,393.294,1032.243,256.229,176.34,200.29,176.55,36.244,144.972,127.336,138.068
01/02/1999,1239.167,1215.485,448.315,2244.095,60.875,1266.108,453.911,1057.68,254.903,176.05,200.02,176.26,36.328,148.235,134.617,139.593
02/02/1999,1227.607,1221.813,442.278,2286.319,61.078,1267.878,487.66,1055.355,254.097,175.84,199.82,173.96,35.288,148.837,136.61,140.356
03/02/1999,1237.67,1200.869,437.114,2256.588,61.461,1281.118,472.813,1058.306,253.798,175.37,199.6,174.01,34.797,148.458,136.253,139.088
04/02/1999,1214.264,1200.931,434.541,2243.34,62.798,1270.611,470.308,1053.019,252.851,174.65,198.93,175.27,34.18,149.275,136.122,140.329
05/02/1999,1204.538,1183.289,432.846,2216.692,62.006,1270.409,449.329,1054.85,252.507,174.98,199.32,173.99,33.072,147.252,133.166,137.608
08/02/1999,1208.851,1175.428,423.42,2217.483,63.536,1260.539,449.518,1055.006,252.617,174.34,198.82,175.76,31.915,146.417,132.642,137.024
09/02/1999,1182.246,1167.268,414.418,2191.643,66.11,1242.53,449.935,1038.183,253.109,174.74,199.28,177.3,32.256,146.926,134.427,137.128
10/02/1999,1190.263,1160.265,420.269,2183.651,73.2,1248.741,458.496,1045.463,253.03,174.67,199.41,177.35,32.953,147.587,134.877,138.117
11/02/1999,1218.705,1183.277,425.996,2187.854,78.721,1260.211,461.696,1089.153,252.919,174.62,199.6,177.35,34.233,149.371,137.361,139.81
12/02/1999,1197.867,1196.647,428.08,2203.958,75.458,1247.335,460.005,1091.418,250.884,173.39,199.16,176.55,34.719,149.743,137.699,139.969
15/02/1999,1197.867,1208.82,432.499,2192.455,73.887,1257.549,460.005,1091.208,250.884,172.79,198.08,176.26,0,0,0,0
16/02/1999,1209.108,1227.261,425.331,2158.736,76.805,1252.752,460.005,1106.362,251.536,173.26,198.19,177.45,35.664,151.215,140.56,140.815
17/02/1999,1193.937,1224.605,425.024,2138.017,76.838,1227.242,454.556,1088.843,252.207,173.23,198.41,178.08,36.118,150.219,140.613,140.677
